Contraceptive method used,Wife's age
1,24
1,45
1,43
1,42
1,36
1,19
1,38
1,21
1,27
1,45
1,38
1,42
1,44
1,42
1,38
1,26
1,48
1,39
1,37
1,39
1,26
1,24
1,46
1,39
1,48
1,40
1,38
1,29
1,24
1,43
1,31
1,31
1,26
1,33
1,24
1,42
1,43
1,25
1,42
1,28
1,28
1,47
1,48
1,40
1,28
1,25
1,32
1,45
1,26
1,26
1,31
1,49
1,40
1,34
1,36
1,20
1,43
1,37
1,21
1,49
1,42
1,20
1,47
1,22
1,27
1,24
1,44
1,30
1,23
1,25
1,47
1,48
1,29
1,29
1,21
1,21
1,29
1,45
1,33
1,38
1,24
1,49
1,24
1,28
1,30
1,33
1,25
1,35
1,27
1,24
1,25
1,46
1,26
1,38
1,47
1,41
1,41
1,28
1,17
1,27
1,27
1,19
1,27
1,26
1,23
1,40
1,22
1,44
1,29
1,26
1,45
1,32
1,21
1,31
1,21
1,37
1,34
1,44
1,49
1,26
1,38
1,36
1,26
1,20
1,44
1,31
1,45
1,36
1,43
1,25
1,48
1,30
1,48
1,28
1,26
1,26
1,24
1,21
1,30
1,20
1,33
1,30
1,47
1,35
1,30
1,33
1,45
1,41
1,32
1,43
1,44
1,21
1,44
1,23
1,47
1,47
1,35
1,32
1,45
1,22
1,23
1,30
1,44
1,40
1,34
1,37
1,49
1,26
1,22
1,20
1,47
1,49
1,22
1,22
1,25
1,32
1,28
1,30
1,45
1,49
1,34
1,25
1,42
1,48
1,35
1,33
1,20
1,36
1,19
1,27
1,30
1,31
1,44
1,24
1,18
1,45
1,25
1,36
1,30
1,32
1,42
1,22
1,36
1,27
1,40
1,22
1,26
1,31
1,32
1,34
1,40
1,45
1,26
1,48
1,43
1,27
1,42
1,34
1,32
1,31
1,22
1,27
1,37
1,22
1,47
1,32
1,37
1,45
1,47
1,28
1,48
1,26
1,21
1,20
1,39
1,27
1,37
1,24
1,39
1,20
1,19
1,40
1,41
1,22
1,32
1,34
1,34
1,23
1,27
1,46
1,34
1,33
1,25
1,26
1,48
1,36
1,38
1,44
1,44
1,39
1,47
1,43
1,29
1,22
1,31
1,22
1,45
1,42
1,38
1,47
1,30
1,28
1,25
1,49
1,23
1,35
1,47
1,35
1,44
1,48
1,43
1,21
1,22
1,41
1,29
1,44
1,22
1,23
1,22
1,35
1,24
1,36
1,47
1,40
1,29
1,49
1,49
1,47
1,28
1,26
1,29
1,29
1,25
1,24
1,23
1,23
1,44
1,39
1,21
1,22
1,47
1,36
1,25
1,40
1,36
1,37
1,28
1,30
1,16
1,32
1,40
1,40
1,45
1,21
1,28
1,25
1,44
1,35
1,49
1,39
1,32
1,35
1,21
1,47
1,27
1,31
1,34
1,30
1,25
1,28
1,30
1,42
1,23
1,45
1,21
1,28
1,33
1,32
1,25
1,25
1,19
1,40
1,24
1,32
1,35
1,27
1,23
1,22
1,49
1,25
1,18
1,43
1,37
1,30
1,29
1,20
1,42
1,23
1,34
1,23
1,38
1,37
1,17
1,39
1,49
1,23
1,40
1,32
1,18
1,46
1,37
1,38
1,37
1,25
1,38
1,39
1,44
1,19
1,28
1,20
1,33
1,33
1,47
1,25
1,29
1,37
1,49
1,48
1,19
1,46
1,39
1,30
1,40
1,43
1,29
1,23
1,24
1,47
1,35
1,19
1,45
1,42
1,47
1,25
1,20
2,33
2,46
2,35
2,26
2,36
2,37
2,44
2,32
2,25
2,42
2,30
2,39
2,26
2,30
2,38
2,23
2,18
2,25
2,37
2,20
2,45
2,28
2,33
2,28
2,30
2,32
2,48
2,46
2,32
2,49
2,33
2,39
2,35
2,36
2,20
2,23
2,26
2,25
2,31
2,36
2,32
2,36
2,40
2,46
2,42
2,39
2,34
2,36
2,37
2,36
2,38
2,27
2,37
2,24
2,42
2,31
2,34
2,34
2,36
2,47
2,34
2,44
2,21
2,42
2,44
2,19
2,35
2,24
2,32
2,31
2,47
2,38
2,40
2,35
2,26
2,23
2,40
2,37
2,39
2,25
2,48
2,31
2,26
2,44
2,29
2,36
2,29
2,37
2,28
2,40
2,33
2,22
2,35
2,32
2,35
2,29
2,23
2,35
2,36
2,32
2,30
2,36
2,33
2,33
2,43
2,35
2,38
2,25
2,26
2,24
2,22
2,33
2,45
2,29
2,47
2,36
2,45
2,47
2,43
2,44
2,24
2,28
2,34
2,31
2,27
2,27
2,26
2,36
2,35
2,38
2,44
2,25
2,25
2,41
2,41
2,24
2,33
2,29
2,47
2,28
2,21
2,32
2,30
2,37
2,29
2,38
2,49
2,41
2,43
2,47
2,22
2,27
2,34
2,42
2,39
2,36
2,21
2,36
2,25
2,41
2,32
2,41
2,43
2,35
2,24
2,43
2,48
2,28
2,24
2,42
2,39
2,24
2,33
2,29
2,44
2,17
2,35
2,32
2,27
2,44
2,42
2,40
2,44
2,33
2,35
2,31
2,37
2,45
2,26
2,40
2,30
2,36
2,33
2,41
2,45
2,48
2,35
2,37
2,46
2,38
2,30
2,42
2,35
2,34
2,37
2,38
2,30
2,46
2,31
2,41
2,41
2,32
2,44
2,39
2,39
2,45
2,33
2,39
2,44
2,34
2,33
2,34
2,27
2,47
2,25
2,24
2,41
3,29
3,27
3,40
3,30
3,24
3,36
3,17
3,28
3,27
3,21
3,30
3,48
3,29
3,29
3,20
3,28
3,32
3,27
3,25
3,43
3,35
3,30
3,29
3,33
3,37
3,27
3,33
3,35
3,20
3,26
3,24
3,45
3,34
3,49
3,33
3,33
3,24
3,30
3,27
3,23
3,35
3,35
3,40
3,29
3,33
3,36
3,36
3,41
3,38
3,29
3,19
3,34
3,26
3,22
3,42
3,27
3,27
3,39
3,21
3,36
3,29
3,29
3,22
3,20
3,33
3,27
3,25
3,25
3,32
3,39
3,31
3,26
3,30
3,43
3,34
3,43
3,32
3,41
3,32
3,46
3,40
3,21
3,32
3,25
3,24
3,21
3,22
3,32
3,30
3,25
3,31
3,19
3,33
3,24
3,19
3,27
3,32
3,32
3,29
3,23
3,34
3,27
3,37
3,26
3,31
3,44
3,35
3,23
3,24
3,24
3,39
3,33
3,24
3,35
3,35
3,34
3,48
3,28
3,26
3,43
3,28
3,22
3,26
3,30
3,38
3,44
3,25
3,34
3,26
3,20
3,39
3,27
3,32
3,48
3,39
3,37
3,33
3,32
3,25
3,37
3,40
3,38
3,36
3,27
3,22
3,22
3,30
3,20
3,34
3,31
3,30
3,44
3,24
3,19
3,28
3,27
3,29
3,37
3,32
3,21
3,33
3,23
3,36
3,33
3,35
3,25
3,29
3,23
3,19
3,35
3,25
3,40
3,17
3,25
3,24
3,23
3,25
3,30
3,31
3,26
3,28
3,30
3,29
3,24
3,26
3,25
3,35
3,22
3,19
3,29
3,21
3,21
3,41
3,37
3,27
3,26
3,37
3,25
3,32
3,34
3,23
3,28
3,24
3,32
3,22
3,25
3,25
3,38
3,33
3,41
3,29
3,22
3,29
3,26
3,28
3,27
3,29
3,24
3,29
3,38
3,23
3,20
3,32
3,25
3,26
3,23
3,23
3,28
3,22
3,28
3,26
3,26
3,24
3,29
3,29
3,42
3,27
3,35
3,21
3,21
3,22
3,28
3,22
3,23
3,28
3,30
3,25
3,33
3,33
3,30
3,22
3,38
3,35
3,34
3,39
3,47
3,38
3,43
3,21
3,30
3,27
3,22
3,25
3,22
3,28
3,25
3,26
3,31
3,32
3,35
3,24
3,28
3,36
3,47
3,26
3,22
3,30
3,41
3,19
3,45
3,35
3,21
3,32
3,32
3,46
3,41
3,36
3,37
3,37
3,35
3,29
3,28
3,46
3,34
3,43
3,28
3,28
3,34
3,27
3,36
3,17
3,21
3,25
3,23
3,25
3,35
3,32
3,37
3,31
3,25
3,26
3,39
3,21
3,35
3,20
3,40
3,41
3,36
3,40
3,32
3,24
3,20
3,32
3,22
3,30
3,31
3,35
3,38
3,31
3,25
3,30
3,22
3,31
3,29
3,29
3,38
3,22
3,45
3,26
3,37
3,36
3,33
3,32
3,35
3,25
3,31
3,25
3,26
3,23
3,28
3,34
3,46
3,25
3,21
3,25
3,28
3,36
3,46
1,35
1,41
1,27
1,25
1,23
1,48
1,23
1,31
1,49
1,42
1,26
1,21
1,29
1,38
1,25
1,22
1,20
1,35
1,32
1,38
1,27
1,41
1,28
1,23
1,27
1,33
1,39
1,41
1,40
1,43
1,35
1,32
1,49
1,47
1,42
1,48
1,42
1,37
1,23
1,24
1,43
1,24
1,29
1,45
1,31
1,44
1,28
1,28
1,33
1,43
1,34
1,36
1,22
1,35
1,25
1,43
1,46
1,27
1,30
1,25
1,42
1,30
1,27
1,45
1,29
1,36
1,49
1,47
1,30
1,24
1,48
1,47
1,24
1,48
1,38
1,45
1,43
1,33
1,37
1,36
1,25
1,49
1,30
1,35
1,28
1,30
1,27
1,45
1,46
1,28
1,21
1,20
1,28
1,25
1,38
1,20
1,24
1,39
1,25
1,23
1,24
1,26
1,20
1,31
1,22
1,36
1,45
1,47
1,30
1,35
1,34
1,28
1,18
1,25
1,27
1,21
1,19
1,26
1,28
1,38
1,39
1,45
1,30
1,47
1,38
1,42
1,31
1,44
1,42
1,28
1,34
1,45
1,43
1,28
1,27
1,26
1,26
1,37
1,48
1,47
1,22
1,48
1,42
1,32
1,33
1,45
1,26
1,45
1,25
1,36
1,31
1,22
1,46
1,26
1,25
1,20
1,31
1,36
1,47
1,43
1,20
1,24
1,33
1,41
1,48
1,32
1,38
1,48
1,34
1,31
1,46
1,45
1,34
1,16
1,18
1,22
1,32
1,41
1,22
1,23
1,22
1,40
1,29
1,42
1,29
1,31
1,28
1,21
1,26
1,37
1,24
1,25
1,22
1,45
1,47
1,28
1,24
1,34
1,47
1,31
1,26
1,25
1,47
1,48
1,38
1,32
1,47
1,27
1,40
1,46
1,33
1,49
1,21
1,31
2,42
2,35
2,31
2,42
2,49
2,21
2,28
2,22
2,36
2,45
2,40
2,30
2,35
2,26
2,45
2,27
2,32
2,27
2,28
2,30
2,34
2,26
2,44
2,29
2,26
2,41
2,32
2,23
2,38
2,22
2,34
2,38
2,21
2,43
2,44
2,24
2,27
2,34
2,29
2,26
2,37
2,21
2,47
2,41
2,29
2,25
2,33
2,23
2,32
2,45
2,37
2,35
2,37
2,35
2,23
2,38
2,41
2,35
2,29
2,26
2,22
2,30
2,36
2,26
2,32
2,39
2,29
2,40
2,43
2,44
2,24
2,42
2,33
2,24
2,28
2,32
2,26
2,27
2,41
2,28
2,23
2,31
2,33
2,35
2,39
2,27
2,48
2,25
2,38
2,48
2,34
2,36
2,34
2,42
2,45
2,37
2,38
2,42
2,42
2,41
2,43
2,34
2,44
2,41
2,36
2,34
3,32
3,34
3,24
3,21
3,38
3,39
3,35
3,30
3,17
3,32
3,43
3,31
3,24
3,26
3,35
3,46
3,29
3,21
3,31
3,24
3,24
3,36
3,37
3,37
3,37
3,44
3,35
3,25
3,21
3,24
3,16
3,21
3,25
3,26
3,43
3,24
3,30
3,30
3,26
3,29
3,24
3,29
3,29
3,22
3,30
3,24
3,25
3,44
3,28
3,22
3,30
3,25
3,25
3,33
3,33
3,26
3,29
3,32
3,30
3,37
3,31
3,36
3,36
3,26
3,36
3,28
3,33
3,25
3,31
3,38
3,35
3,33
3,30
3,20
3,18
3,30
3,35
3,22
3,28
3,21
3,27
3,30
3,25
3,26
3,37
3,47
3,36
3,36
3,36
3,28
3,21
3,25
3,30
3,22
3,23
3,36
3,28
3,46
3,47
3,41
3,44
3,34
3,37
3,34
3,22
3,33
3,21
3,31
3,41
3,30
3,32
3,27
3,26
3,42
3,24
3,37
3,30
3,27
3,34
3,32
3,28
3,29
3,42
3,21
3,22
3,36
3,45
3,34
3,35
3,19
3,27
3,37
3,26
3,28
3,31
3,32
3,40
3,27
3,27
3,37
3,22
3,27
3,21
3,30
3,23
3,25
3,42
3,29
3,33
3,33
3,39
3,33
3,17